"ACCOUNT_NUM","APPRAISAL_YR"
"00000127645000000","2026"
"00000127786000000","2026"
"00000127801000000","2026"
"00000129313000000","2026"
"00000108916500000","2026"
"00000110521000000","2026"
"00000111184000000","2026"
"00000111244000000","2026"
"00000100016000000","2026"
"00000100171000000","2026"
"00000100378000000","2026"
"00000119506000000","2026"
"00000122302000000","2026"
"00000112372000000","2026"
"00000112387000000","2026"
"00000115831000000","2026"
"00000117004000000","2026"
"00000117007000000","2026"
"00000117955000000","2026"
"00000147541000000","2026"
"00000169339000000","2026"
"00000169369000000","2026"
"00000169441000000","2026"
"00000169879000000","2026"
"00000170371000000","2026"
"00000171148000000","2026"
"00000150073000000","2026"
"00000150751000000","2026"
"00000151132000000","2026"
"00000152455000000","2026"
"00000152476000000","2026"
"00000171529000000","2026"
"00000171577000000","2026"
"00000105760000000","2026"
"00000106033500000","2026"
"00000107254000000","2026"
"00000107644000000","2026"
"00000200218000000","2026"
"00000174793000000","2026"
"00000175042000000","2026"
"00000209248000000","2026"
"00000221206000000","2026"
"00000221389000000","2026"
"00000153424000000","2026"
"00000153532000000","2026"
"00000153598000000","2026"
"00000153643000000","2026"
"00000155170000000","2026"
"00000156715000000","2026"
"00000215020000000","2026"
"00000159673000000","2026"
"00000160063000000","2026"
"00000178336000000","2026"
"00000178606000000","2026"
"00000179353000000","2026"
"00000179545000000","2026"
"00000179701000000","2026"
"00000179761000000","2026"
"00000179818000000","2026"
"00000218659000000","2026"
"00000218803000000","2026"
"00000218854000000","2026"
"00000219391000000","2026"
"00000131953000000","2026"
"00000133723000100","2026"
"00000137758000000","2026"
"00000137830000000","2026"
"00000118972000000","2026"
"00000207493000000","2026"
"00000207601000000","2026"
"00000207748000000","2026"
"00000267787000000","2026"
"00000267850000000","2026"
"00000268204000000","2026"
"00000175729000000","2026"
"00000176536000000","2026"
"00000178228000000","2026"
"00000211090000000","2026"
"00000304414000000","2026"
"00000314011000000","2026"
"00000314065000000","2026"
"00000315121000100","2026"
"00000140596509600","2026"
"00000140899000000","2026"
"00000140935000000","2026"
"00000141721000000","2026"
"00000141787000000","2026"
"00000142099000000","2026"
"00000142294000000","2026"
"00000142795000000","2026"
"00000288178000000","2026"
"00000215278000000","2026"
"00000215428000000","2026"
"00000278797000000","2026"
"00000278821000000","2026"
"00000278824000000","2026"
"00000139717000000","2026"
"00000166570000000","2026"
"00000167641000000","2026"
"00000167794000000","2026"
"00000263614000000","2026"
"00000264004000000","2026"
"00000264637000000","2026"
"00000264649000000","2026"
"00000312796000000","2026"
"00000322912000000","2026"
"00000323170000000","2026"
"00000329110000000","2026"
"00000162217000000","2026"
"00000203185000000","2026"
"00000250507000000","2026"
"00000320728000000","2026"
"00000321403000000","2026"
"00000224716000000","2026"
"00000290365000000","2026"
"00000291955000000","2026"
"00000222037000000","2026"
"00000222163000000","2026"
"00000222484000000","2026"
"00000222553000000","2026"
"00000222586000000","2026"
"00000259357000000","2026"
"00000280993000000","2026"
"00000282598000000","2026"
"00000283564000000","2026"
"00000283658000000","2026"
"00000275650000000","2026"
"00000276034000000","2026"
"00000301849000000","2026"
"00000310093000000","2026"
"00000310474000000","2026"
"00000310867000000","2026"
"00000316903000000","2026"
"00000317188000000","2026"
"00000253222000000","2026"
"00000253378000000","2026"
"00000253390000000","2026"
"00000335452000000","2026"
"00000335527000000","2026"
"00000335575000000","2026"
"00000248956000000","2026"
"00000248989000000","2026"
"00000249361000000","2026"
"00000249409000000","2026"
"00000297202000000","2026"
"00000297907000000","2026"
"00000319042000000","2026"
"00000319528000000","2026"
"00000319780000000","2026"
"00000319870000000","2026"
"00000305773000000","2026"
"00000384127000000","2026"
"00000384142000000","2026"
"00000387301000000","2026"
"00000399697000000","2026"
"00000402049000000","2026"
"00000402109000100","2026"
"00000268216000000","2026"
"00000299377000000","2026"
"00000344227000000","2026"
"00000354805000000","2026"
"00000395743000100","2026"
"00000125008000000","2026"
"00000125128000000","2026"
"00000125224000000","2026"
"00000164338000000","2026"
"00000164554000000","2026"
"00000165520000000","2026"
"00000192334000000","2026"
"00000293683000000","2026"
"00000294133000000","2026"
"00000294871000000","2026"
"00000294997500000","2026"
"00000360703000000","2026"
"00000454000000000","2026"
"00000266172000000","2026"
"00000266302000000","2026"
"00000266539000000","2026"
"000004602070000HS","2026"
"00000341800000000","2026"
"00000394886000000","2026"
"00000405059000000","2026"
"00000429419000100","2026"
"00000430132000000","2026"
"00000430480000000","2026"
"00000279874000000","2026"
